Temperature,RelativeHumidity,WindSpeed,ApparentTemperature,ProbabilityOfPrecipitation,Clothing type,Umbrella,Coat,target
14.8,67,5.1,14.58,20,M,Y,4,152
14.6,72,5.6,14.28,20,M,Y,4,152
14.6,71,4.9,14.72,20,M,Y,4,152
14.4,74,5.1,14.53,20,M,Y,4,152
14.4,76,6,14,30,M,Y,4,152
14.2,71,6.3,13.34,20,M,Y,4,152
13.7,80,7.2,12.66,30,M,Y,4,152
13.6,82,6,13.5,30,M,Y,4,152
14.4,80,4.8,15.04,30,K,Y,2,126
14.7,80,5.3,14.99,30,M,Y,4,152
14.6,81,4.5,15.5,30,K,Y,2,126
14.8,81,4.1,15.98,40,K,Y,2,126
15,80,3.8,16.34,30,J,Y,2,114
15.5,81,3.9,16.82,40,J,Y,2,114
14.9,84,4,16.3,40,K,Y,2,126
14.7,86,3.6,16.48,40,J,Y,2,114
14.4,88,3.6,16.28,50,J,Y,2,114
14.4,91,3.4,16.57,50,J,Y,2,114
14.4,91,2.6,17.13,50,J,Y,2,114
14.4,94,1.9,17.77,60,J,Y,2,114
14.4,96,1.7,18.01,60,J,Y,2,114
14.3,97,2.6,17.33,60,J,Y,2,114
14.7,96,1.9,18.17,60,J,Y,2,114
14.9,96,1.6,18.58,60,J,Y,2,114
21.5,95,4.5,23.1,50,G,Y,2,78
21.8,95,5,23.05,50,G,Y,3,79
21.9,96,6,22.5,50,G,Y,3,79
22.3,92,4.9,23.47,50,G,Y,2,78
20.8,92,8.1,19.73,40,I,Y,3,103
20.4,93,9.4,18.47,40,K,Y,3,127
19.7,93,11.5,16.3,40,K,Y,3,127
19.3,93,14,14.15,30,M,Y,4,152
18.7,95,9,17.15,40,K,Y,3,127
19.2,91,12.5,15,30,M,Y,3,151
19.7,87,11.6,15.93,30,K,Y,3,127
20.6,84,10.3,17.59,30,K,Y,3,127
20.1,83,13.9,14.52,20,M,Y,4,152
19.9,83,13.8,14.39,20,M,Y,4,152
19.7,83,11.8,15.59,20,K,Y,3,127
19.6,83,11.6,15.63,20,K,Y,3,127
19.6,84,13,14.7,20,M,Y,4,152
19.5,84,11.1,15.93,30,K,Y,3,127
19.5,84,9.8,16.84,30,K,Y,3,127
19.3,85,14,13.75,20,M,Y,4,152
19.6,85,11.5,15.8,30,K,Y,3,127
19.5,83,14,13.85,20,M,Y,4,152
19.5,83,12.8,14.69,20,M,Y,4,152
19.4,83,14.4,13.47,20,M,Y,4,152
13.1,80,4.8,13.74,30,M,Y,4,152
13,78,4.7,13.61,30,M,Y,4,152
12.9,77,6.1,12.48,30,M,Y,4,152
12.9,77,3.7,14.16,30,L,Y,4,140
12.6,79,4.2,13.61,30,M,Y,4,152
12.4,83,3.8,13.89,40,L,Y,4,140
12.4,80,4.3,13.39,30,M,Y,4,152
12.9,76,4.4,13.62,30,M,Y,4,152
13.6,73,4.7,13.96,20,M,Y,4,152
15.4,66,4.7,15.41,10,K,X,2,122
15.7,66,4.9,15.57,10,K,X,2,122
17.8,58,3.7,18.11,10,J,X,2,110
19.8,51,2.9,20.32,0,H,X,2,86
18.5,55,3.7,18.66,0,J,X,2,110
17.2,60,3.4,17.82,10,J,X,2,110
15.7,66,4.7,15.71,10,K,X,2,122
14.5,70,4.5,14.85,20,M,Y,4,152
14,70,5.4,13.72,20,M,Y,4,152
13.5,71,5.4,13.27,20,M,Y,4,152
13,73,5.4,12.87,20,M,Y,4,152
13,72,4.9,13.17,20,M,Y,4,152
13,74,4.4,13.62,30,M,Y,4,152
13,74,4,13.9,30,M,Y,4,152
12.8,74,3.6,13.98,30,L,Y,4,140
18.1,81,2.7,20.26,40,H,Y,2,90
17.7,82,2.5,20.05,40,H,Y,2,90
17.7,81,1.6,20.63,40,H,Y,2,90
17.5,82,2.7,19.71,40,H,Y,2,90
17.3,84,3.4,19.12,40,H,Y,2,90
20.1,75,1.9,22.52,30,F,Y,2,66
18.8,77,2.3,21.04,30,H,Y,2,90
20.8,70,1.8,23.04,30,F,Y,2,66
22.3,66,4,22.8,20,G,Y,2,78
22.4,69,4.3,22.84,20,G,Y,2,78
23.4,66,5.1,23.13,10,G,X,3,75
24.8,60,3.7,25.21,10,F,X,2,62
24.6,61,4.2,24.71,10,G,X,2,74
24.8,60,3.7,25.21,10,F,X,2,62
24.3,63,3.2,25.21,10,F,X,2,62
23.3,69,3.5,24.3,20,F,Y,2,66
23.1,72,3.7,24.11,20,F,Y,2,66
22.8,71,4.2,23.41,20,G,Y,2,78
22.8,74,3.8,23.84,30,F,Y,2,66
22.5,75,3.2,24.01,30,F,Y,2,66
22.4,72,3.5,23.55,20,F,Y,2,66
21.8,72,3.4,23.02,30,F,Y,2,66
21.6,72,2.6,23.38,30,F,Y,2,66
21.1,72,1.3,23.79,30,F,Y,2,66
16.2,78,1.1,19.33,40,H,Y,2,90
16.1,76,1.3,18.99,30,J,Y,2,114
15.6,80,2.3,17.99,40,J,Y,2,114
15.6,77,2.4,17.77,30,J,Y,2,114
15.7,75,1.5,18.4,30,J,Y,2,114
15.7,75,1.8,18.19,30,J,Y,2,114
15.7,73,3,17.25,30,J,Y,2,114
16.1,71,1.9,18.32,30,J,Y,2,114
16.5,72,1.6,18.98,30,J,Y,2,114
17.3,70,1.4,19.82,30,H,Y,2,90
18.2,64,1.7,20.21,20,H,Y,2,90
18.8,61,0.5,21.5,20,H,Y,2,90
18.9,64,2.9,20.07,20,H,Y,2,90
18.9,63,1.6,20.93,20,H,Y,2,90
18.9,67,1.4,21.27,20,H,Y,2,90
18.4,72,0.9,21.37,30,H,Y,2,90
17.7,79,1.4,20.67,40,H,Y,2,90
17.5,80,1.3,20.59,40,H,Y,2,90
17.4,83,0.9,20.92,40,H,Y,2,90
17.3,80,1,20.6,40,H,Y,2,90
17.4,79,0.4,21.07,40,H,Y,2,90
17.2,83,1.2,20.51,40,H,Y,2,90
17.1,83,1.2,20.41,40,H,Y,2,90
17.1,84,1.4,20.32,40,H,Y,2,90
25.6,65,5.8,24.79,10,G,X,3,75
25.1,65,3.3,26.04,20,D,Y,2,42
24.9,66,3.2,25.96,20,F,Y,2,66
25.2,65,3.8,25.79,20,F,Y,2,66
24.7,68,2,26.7,20,D,Y,2,42
24.7,68,3.1,25.93,20,F,Y,2,66
24.9,69,2.6,26.53,20,D,Y,2,42
26.3,65,2.3,27.94,20,D,Y,2,42
27.7,60,3.8,28.04,10,D,X,1,37
28.7,61,3.4,29.37,10,B,X,1,13
28.5,61,4.3,28.54,10,D,X,1,37
29,60,3.7,29.41,10,B,X,1,13
28.6,63,4,28.95,10,D,X,1,37
28.7,63,4.3,28.84,10,D,X,1,37
28.3,66,4.6,28.38,20,D,Y,1,41
27.5,71,3.3,28.74,20,D,Y,1,41
26.7,74,3.2,28.16,30,D,Y,1,41
26.4,75,2.9,28.12,30,D,Y,1,41
26.5,74,4.1,27.33,30,D,Y,2,42
26.7,73,6.2,26.01,20,E,Y,3,55
26.5,73,5.5,26.3,20,D,Y,3,43
26.1,73,3.8,27.09,30,D,Y,2,42
26.1,74,6.1,25.53,20,G,Y,3,79
26,75,5,26.25,30,D,Y,3,43
23.7,82,0.4,27.52,40,D,Y,2,42
23.5,82,0.8,27.04,40,D,Y,2,42
23.4,83,0.6,27.13,40,D,Y,2,42
23.3,84,0.5,27.15,50,D,Y,2,42
23.3,84,0.2,27.36,50,D,Y,2,42
22.8,88,0.1,27.13,50,D,Y,2,42
23.2,87,0.2,27.41,50,D,Y,2,42
25.5,80,0.3,29.29,40,C,Y,1,29
26.7,77,0.2,30.41,40,C,Y,1,29
28.6,72,0.9,31.57,30,C,Y,1,29
28.6,71,1.4,31.17,30,C,Y,1,29
28.8,70,1.1,31.53,30,C,Y,1,29
30.1,67,2,32.05,20,A,Y,1,5
29.1,69,1.9,31.22,20,C,Y,1,29
29.7,66,3.1,30.83,20,B,Y,1,17
28.2,70,2.3,30.09,20,C,Y,1,29
27.6,77,0.4,31.17,40,C,Y,1,29
26.7,84,0.1,30.83,50,C,Y,1,29
27.2,80,0.6,30.78,40,C,Y,1,29
28,79,1.1,31.18,40,C,Y,1,29
27.5,83,0.5,31.3,40,C,Y,1,29
25.9,89,0.1,30.28,50,C,Y,1,29
25.4,85,0.2,29.51,50,C,Y,1,29
25.3,78,0.2,29.06,40,C,Y,1,29
24,77,3.9,25.12,30,F,Y,2,66
23.8,79,4.2,24.81,30,G,Y,2,78
23.8,78,4,24.9,30,G,Y,2,78
23.7,79,4.3,24.64,30,G,Y,2,78
23.6,80,3.8,24.94,30,F,Y,2,66
23.4,82,3.6,24.98,40,F,Y,2,66
23.9,81,3.4,25.57,40,F,Y,2,66
24.9,77,3.9,26.02,30,D,Y,2,42
27.3,69,1.7,29.56,20,C,Y,1,29
28,69,0.5,31.1,30,C,Y,1,29
28.8,67,1.5,31.1,20,C,Y,1,29
29.2,64,1.8,31.14,20,C,Y,1,29
30.5,59,2.3,31.84,10,C,X,1,25
31.7,56,1.2,33.66,10,A,X,1,1
31.4,58,0.9,33.67,10,A,X,1,1
30.1,61,5,29.65,10,B,X,3,15
29.1,64,3.1,30.13,20,B,Y,1,17
28.5,66,2.7,29.91,20,C,Y,1,29
27.8,66,2.9,29.07,20,C,Y,1,29
27.6,66,2.3,29.29,20,C,Y,1,29
27,63,3.4,27.77,10,D,X,2,38
26.6,57,2.3,27.84,10,D,X,2,38
26.2,59,3.5,26.7,10,D,X,2,38
25.9,62,3.3,26.69,10,D,X,2,38
26.1,92,0.7,30.21,60,C,Y,1,29
25.8,95,1.8,29.29,60,C,Y,1,29
25.5,93,0.8,29.59,60,C,Y,1,29
25.2,95,0.5,29.6,60,C,Y,1,29
24.9,95,1.3,28.74,60,D,Y,1,41
26.1,83,1.4,29.27,40,C,Y,1,29
26.8,87,0.9,30.52,50,C,Y,1,29
29.2,74,1.2,32.06,30,A,Y,1,5
31.1,62,1.6,33.08,20,A,Y,1,5
31.9,59,1.7,33.66,10,A,X,1,1
32.5,57,2.9,33.32,10,A,X,1,1
33,63,4.2,33.21,10,A,X,1,1
32.2,67,2.8,33.59,20,A,Y,1,5
33,64,3.6,33.68,10,A,X,1,1
32.6,64,4.3,32.79,10,A,X,1,1
32.3,67,3.3,33.34,20,A,Y,1,5
30.2,75,2.4,32.27,30,A,Y,1,5
29.6,80,2.4,31.92,40,C,Y,1,29
29.5,79,1.5,32.4,40,A,Y,1,5
29.1,82,0.6,32.78,40,A,Y,1,5
28.7,86,1.1,32.23,50,A,Y,1,5
28.6,87,0,32.95,50,A,Y,1,5
28.3,90,0,32.8,60,A,Y,1,5
28,92,0.5,32.25,60,A,Y,1,5
14.1,83,0.9,17.62,40,J,Y,2,114
15.3,73,1.4,17.97,30,J,Y,2,114
14,83,1,17.45,40,J,Y,2,114
14.4,80,0.5,18.05,40,J,Y,2,114
12.9,91,0.7,16.96,50,J,Y,2,114
12.8,90,0.8,16.74,50,J,Y,2,114
13.8,91,0.2,18.21,60,J,Y,2,114
15.3,82,0.3,19.19,40,H,Y,2,90
16.1,78,0.8,19.44,40,H,Y,2,90
16.6,82,0.6,20.28,40,H,Y,2,90
17.2,77,1,20.35,40,H,Y,2,90
15.7,87,0.6,19.63,50,H,Y,2,90
17.8,75,1.3,20.64,30,H,Y,2,90
17.2,84,0.6,20.98,50,H,Y,2,90
16,94,0.5,20.35,60,H,Y,2,90
15.3,91,1.1,19.08,50,H,Y,2,90
14.3,95,1.5,18,60,J,Y,2,114
13.3,99,1.4,17.27,60,J,Y,2,114
13.6,100,0.3,18.39,70,J,Z,3,119
13.6,100,0.8,18.04,70,J,Z,3,119
13.1,100,0.5,17.75,70,J,Z,3,119
12.2,100,0.3,16.99,70,J,Z,3,119
12.2,100,1.1,16.43,70,J,Z,3,119
12.6,100,0.8,17.04,70,J,Z,3,119
24.5,88,1.1,28.13,50,D,Y,1,41
24.5,88,0.3,28.69,50,D,Y,1,41
24.1,90,1,27.9,50,D,Y,2,42
24.3,87,0.3,28.44,50,D,Y,1,41
24.3,90,1.3,27.89,50,D,Y,2,42
24.6,89,2.2,27.51,50,D,Y,2,42
24.6,88,1.3,28.09,50,D,Y,1,41
24,88,1.2,27.56,50,D,Y,2,42
23.8,88,2,26.8,50,D,Y,2,42
24.1,86,2.1,26.93,50,D,Y,2,42
24.3,84,2.2,26.96,40,D,Y,2,42
25.2,81,1.4,28.27,40,D,Y,1,41
24.8,82,3.2,26.66,40,D,Y,2,42
26,81,2.7,28.16,40,D,Y,1,41
26.1,82,2.1,28.73,40,D,Y,1,41
26.2,81,3.3,27.94,40,D,Y,2,42
25.5,84,3.6,27.18,40,D,Y,2,42
25.6,85,3.8,27.19,40,D,Y,2,42
25.7,88,3.3,27.79,50,D,Y,2,42
25.8,88,3,28.1,50,D,Y,1,41
26.1,86,2.3,28.79,50,D,Y,1,41
26,89,3.2,28.21,50,D,Y,1,41
26.3,87,5.4,26.87,40,D,Y,3,43
26.4,83,3.5,28.1,40,D,Y,1,41
24.4,97,0.5,28.9,60,D,Y,1,41
24.2,98,0.3,28.89,60,D,Y,1,41
24.3,97,1.2,28.31,60,D,Y,1,41
24.2,97,0.6,28.63,60,D,Y,1,41
23.9,98,1.2,27.96,60,D,Y,2,42
23.9,97,0.9,28.12,60,D,Y,1,41
26.3,89,1.9,29.42,50,C,Y,1,29
27.8,84,0.6,31.58,50,C,Y,1,29
29.6,71,1.8,31.89,30,C,Y,1,29
31.4,65,2.7,32.76,20,A,Y,1,5
32.3,64,3.5,33.05,10,A,X,1,1
33.2,61,2.5,34.5,10,A,X,1,1
33.8,57,2.4,34.97,10,A,X,1,1
33.3,65,2.2,35.01,20,A,Y,1,5
32,69,2.8,33.49,20,A,Y,1,5
28.5,90,2.3,31.39,50,C,Y,1,29
25,90,3.2,27.26,50,D,Y,2,42
23,86,6.7,22.61,40,G,Y,3,79
23.2,91,2.8,25.79,50,F,Y,2,66
24.2,87,1.7,27.36,50,D,Y,2,42
23.9,91,0.7,27.96,50,D,Y,2,42
23.8,94,0.8,27.94,60,D,Y,2,42
23.5,95,0.7,27.76,60,D,Y,2,42
22.9,98,0.5,27.45,60,D,Y,2,42
26.7,87,0.1,30.98,50,C,Y,1,29
26.8,88,1,30.5,50,C,Y,1,29
26.8,89,0.5,30.9,50,C,Y,1,29
26.4,91,0.3,30.74,60,C,Y,1,29
26.2,92,0.5,30.45,60,C,Y,1,29
26.2,91,0.1,30.68,60,C,Y,1,29
27.6,82,0.8,31.14,40,C,Y,1,29
29.4,74,0.2,32.96,30,A,Y,1,5
29.9,74,0.6,33.18,30,A,Y,1,5
32.1,68,1.1,34.73,20,A,Y,1,5
33.1,60,2.9,34.07,10,A,X,1,1
33.1,61,2.7,34.26,10,A,X,1,1
33.3,63,3.2,34.21,10,A,X,1,1
33.5,66,3.4,34.42,20,A,Y,1,5
32.9,65,3.9,33.42,20,A,Y,1,5
32.3,69,3,33.65,20,A,Y,1,5
31.5,71,2.3,33.44,30,A,Y,1,5
29,76,3.2,30.56,30,B,Y,1,17
24.5,85,1.5,27.7,50,D,Y,2,42
25.1,86,0.6,28.98,50,D,Y,1,41
25.2,87,0.4,29.27,50,C,Y,1,29
25,85,0.7,28.76,50,D,Y,1,41
24.8,91,0.2,29.21,60,C,Y,1,29
24.9,92,0.1,29.43,60,C,Y,1,29
22.2,99,0.2,27.01,70,D,Z,3,47
22.1,99,0.2,26.91,70,D,Z,3,47
21.8,99,0.6,26.33,70,D,Z,3,47
21.4,95,0.5,25.8,60,F,Y,2,66
21.1,94,0.4,25.52,60,F,Y,2,66
21.2,92,0.6,25.38,60,F,Y,2,66
21.8,82,0.2,25.76,40,F,Y,2,66
23.8,88,0.4,27.92,50,D,Y,2,42
25.2,78,0.5,28.75,40,D,Y,1,41
26.4,74,0.3,29.89,30,C,Y,1,29
27.5,71,0.2,30.91,30,C,Y,1,29
27.9,71,0.6,31.03,30,C,Y,1,29
26.4,76,0.5,29.85,40,C,Y,1,29
26.4,79,0.3,30.14,40,C,Y,1,29
26.5,82,0.2,30.46,40,C,Y,1,29
28,75,0.3,31.54,30,C,Y,1,29
25,87,0.4,29.07,50,C,Y,1,29
23.7,95,0.9,27.82,60,D,Y,2,42
22.3,97,0.9,26.52,60,D,Y,2,42
23.1,78,1.7,25.81,40,F,Y,2,66
21.5,91,1.1,25.28,50,F,Y,2,66
22.2,89,0.2,26.51,50,D,Y,2,42
22.5,87,1.1,26.08,50,D,Y,2,42
21,95,0.6,25.33,60,F,Y,2,66
28.4,85,1.6,31.53,50,C,Y,1,29
28.4,85,1.3,31.74,50,C,Y,1,29
28.2,86,0.8,31.94,50,C,Y,1,29
28.2,84,1.2,31.56,40,C,Y,1,29
28,85,0.6,31.83,50,C,Y,1,29
28.1,84,1.2,31.46,40,C,Y,1,29
28.5,82,1.4,31.62,40,C,Y,1,29
29.6,75,2,31.95,30,C,Y,1,29
31.1,72,2.4,33.02,30,A,Y,1,5
32.1,70,2.4,33.92,20,A,Y,1,5
31.8,72,1.5,34.35,30,A,Y,1,5
32.1,69,2.4,33.87,20,A,Y,1,5
32.5,65,2.7,33.86,20,A,Y,1,5
32.7,71,1.4,35.27,30,A,Y,1,5
32.7,66,2.5,34.25,20,A,Y,1,5
32,71,2.2,34.01,30,A,Y,1,5
30.6,72,0.8,33.64,30,A,Y,1,5
29.3,80,0.7,32.81,40,A,Y,1,5
29.2,77,1,32.35,40,A,Y,1,5
28.8,79,0.1,32.68,40,A,Y,1,5
28.8,75,1.2,31.71,30,C,Y,1,29
28.4,76,0.9,31.57,40,C,Y,1,29
28.2,78,1.4,31.12,40,C,Y,1,29
28,78,0.8,31.34,40,C,Y,1,29
27.2,95,0.1,31.88,60,C,Y,1,29
27.3,93,0.4,31.67,60,C,Y,1,29
26.5,95,0.3,31.04,60,C,Y,1,29
26.7,95,0.3,31.24,60,C,Y,1,29
26.9,94,0.8,31.04,60,C,Y,1,29
27.2,94,0.4,31.62,60,C,Y,1,29
28.2,88,0.6,32.18,50,A,Y,1,5
29.2,83,1.5,32.3,40,A,Y,1,5
29.6,83,2.4,32.07,40,A,Y,1,5
30.4,78,1.8,33.04,40,A,Y,1,5
30.8,78,1.5,33.65,40,A,Y,1,5
30.8,81,2.1,33.38,40,A,Y,1,5
30.2,82,2,32.9,40,A,Y,1,5
29.9,80,1.9,32.57,40,A,Y,1,5
29.7,82,2,32.4,40,A,Y,1,5
30.1,82,2.5,32.45,40,A,Y,1,5
29.6,83,2.5,32,40,C,Y,1,29
28.8,88,2.3,31.59,50,C,Y,1,29
28.3,89,0.6,32.33,50,A,Y,1,5
28.1,91,0.4,32.37,60,A,Y,1,5
27.9,93,0.5,32.2,60,A,Y,1,5
27.9,93,0.5,32.2,60,A,Y,1,5
27.9,92,1.2,31.66,60,C,Y,1,29
27.7,93,0.9,31.72,60,C,Y,1,29
25,88,1,28.7,50,D,Y,1,41
24.6,89,0.1,28.98,50,D,Y,1,41
24.8,88,0.4,28.92,50,D,Y,1,41
24.8,87,0.1,29.08,50,C,Y,1,29
25.1,87,0.5,29.1,50,C,Y,1,29
25.5,88,0.7,29.41,50,C,Y,1,29
25.2,90,0.9,29.07,50,C,Y,1,29
24.8,88,1.2,28.36,50,D,Y,1,41
24.7,88,1.5,28.05,50,D,Y,1,41
25.2,86,1.5,28.45,50,D,Y,1,41
25.5,83,1.2,28.81,40,D,Y,1,41
25.4,84,1.5,28.55,40,D,Y,1,41
25.2,84,1,28.7,50,D,Y,1,41
26.8,80,1.3,29.89,40,C,Y,1,29
26.7,82,1.5,29.75,40,C,Y,1,29
26.9,81,1.3,30.04,40,C,Y,1,29
26.3,83,1.4,29.47,40,C,Y,1,29
26.4,84,1.1,29.83,50,C,Y,1,29
26.6,85,0.3,30.64,50,C,Y,1,29
26.5,87,0.5,30.5,50,C,Y,1,29
26.9,87,0.5,30.9,50,C,Y,1,29
26.8,88,1,30.5,50,C,Y,1,29
26.9,87,0.6,30.83,50,C,Y,1,29
27,82,0.8,30.54,40,C,Y,1,29
21,96,0.3,25.59,60,F,Y,2,66
20.9,95,0.8,25.09,60,F,Y,2,66
20.7,93,1.6,24.23,60,F,Y,2,66
20.6,93,1.7,24.06,60,F,Y,2,66
20.8,90,2.4,23.62,50,F,Y,2,66
20.2,94,0.5,24.55,60,F,Y,2,66
21.3,89,0.3,25.54,50,F,Y,2,66
22.3,88,1.1,25.93,50,F,Y,2,66
23.8,76,2,26.2,30,D,Y,2,42
24,80,2.6,26.18,40,D,Y,2,42
24.1,83,2.5,26.5,40,D,Y,2,42
24.8,81,2.2,27.31,40,D,Y,2,42
25.2,71,2.5,27,30,D,Y,2,42
25.1,75,2.2,27.31,30,D,Y,2,42
24.7,78,2.4,26.92,30,D,Y,2,42
24.7,78,1.9,27.27,40,D,Y,2,42
24,77,1.7,26.66,30,D,Y,2,42
23.6,77,1.2,26.61,40,D,Y,2,42
23.6,82,1.5,26.65,40,D,Y,2,42
23.5,87,1.4,26.87,50,D,Y,2,42
24,86,1.8,27.04,50,D,Y,2,42
24.5,86,3.7,26.21,40,D,Y,2,42
23.8,89,5.1,24.68,40,G,Y,3,79
21.1,92,4.7,22.41,50,G,Y,2,78
21.7,85,1.4,24.97,50,F,Y,2,66
21.3,86,2.1,24.13,50,F,Y,2,66
21.5,85,1.2,24.91,50,F,Y,2,66
21.3,85,4,22.75,40,G,Y,2,78
21.5,83,3.5,23.2,40,F,Y,2,66
21.2,84,3.4,23.02,40,F,Y,2,66
21.9,82,1.5,24.95,40,F,Y,2,66
22.4,79,0.7,25.86,40,F,Y,2,66
24.5,69,2,26.55,20,D,Y,2,42
23.7,79,3.9,24.92,30,F,Y,2,66
23.1,85,2.9,25.32,40,F,Y,2,66
23.8,82,3.7,25.31,40,F,Y,2,66
23.5,82,3.7,25.01,40,F,Y,2,66
23.9,81,2.9,25.92,40,F,Y,2,66
24,81,3.1,25.88,40,F,Y,2,66
24.5,80,1.9,27.17,40,D,Y,2,42
24,82,1.7,26.91,40,D,Y,2,42
23.8,83,2.2,26.41,40,D,Y,2,42
24.9,75,1.3,27.74,30,D,Y,2,42
24.8,75,1.7,27.36,30,D,Y,2,42
24.8,74,3.6,25.98,30,F,Y,2,66
23.1,88,3.1,25.33,50,F,Y,2,66
22.4,93,2.8,25.09,50,F,Y,2,66
22.4,92,0.3,26.79,60,D,Y,2,42
23.2,76,0.6,26.58,40,D,Y,2,42
22.7,80,1.3,25.79,40,F,Y,2,66
22.3,81,0.9,25.72,40,F,Y,2,66
21.9,80,0.9,25.27,40,F,Y,2,66
21.5,79,1.2,24.61,40,F,Y,2,66
21.1,80,1.2,24.26,40,F,Y,2,66
21.8,78,0.9,25.07,40,F,Y,2,66
22.7,73,0.9,25.72,30,F,Y,2,66
24.7,67,0.5,27.7,20,D,Y,2,42
27.3,53,1.3,29.04,0,C,X,1,25
26.7,57,1.1,28.78,10,D,X,1,37
27.9,53,0.9,29.92,10,C,X,1,25
29.4,51,2.3,30.34,0,C,X,1,25
28.7,56,1.8,30.24,10,C,X,1,25
27.8,60,1.6,29.68,10,C,X,1,25
27.9,63,2.7,29.16,10,C,X,1,25
27.1,67,1.9,29.12,20,C,Y,1,29
25.9,68,2.8,27.34,20,D,Y,2,42
25.6,67,0.9,28.32,20,D,Y,1,41
25.5,68,0.3,28.69,30,D,Y,1,41
23.6,86,0.7,27.41,50,D,Y,2,42
23,94,0.8,27.14,60,D,Y,2,42
23.1,96,0.1,27.83,60,D,Y,2,42
22.8,95,1.5,26.5,60,D,Y,2,42
20.8,89,1.2,24.41,50,F,Y,2,66
20.9,89,1.8,24.09,50,F,Y,2,66
21.2,88,1.7,24.41,50,F,Y,2,66
21.4,87,0.9,25.12,50,F,Y,2,66
21,88,2.2,23.86,50,F,Y,2,66
20.9,89,2.1,23.88,50,F,Y,2,66
21.2,87,3.3,23.24,40,F,Y,2,66
22.1,85,2.5,24.6,40,F,Y,2,66
23.2,83,0.6,26.93,40,D,Y,2,42
21.4,88,0.9,25.17,50,F,Y,2,66
21.9,92,1.6,25.38,50,F,Y,2,66
22.2,92,0.7,26.31,60,D,Y,2,42
22.9,89,0.3,27.14,50,D,Y,2,42
21.7,91,1.7,25.06,50,F,Y,2,66
22.6,89,1.4,26.07,50,D,Y,2,42
21.3,91,2.1,24.38,50,F,Y,2,66
